5, 0.06
1, 0.264
3, 0.16
5, 0.06
3, 0.16
1, 0.264
1, 0.264
2, 0.258
2, 0.258
3, 0.16
1, 0.264
0, 0.084
0, 0.084
3, 0.16
4, 0.122
0, 0.084
2, 0.258
2, 0.258
2, 0.258
2, 0.258
4, 0.122
3, 0.16
3, 0.16
6, 0.026
2, 0.258
6, 0.026
1, 0.264
0, 0.084
3, 0.16
1, 0.264
5, 0.06
2, 0.258
1, 0.264
2, 0.258
2, 0.258
1, 0.264
2, 0.258
2, 0.258
2, 0.258
0, 0.084
3, 0.16
1, 0.264
1, 0.264
2, 0.258
8, 0.006
2, 0.258
4, 0.122
1, 0.264
3, 0.16
2, 0.258
6, 0.026
1, 0.264
3, 0.16
1, 0.264
1, 0.264
1, 0.264
1, 0.264
2, 0.258
6, 0.026
0, 0.084
4, 0.122
2, 0.258
0, 0.084
2, 0.258
4, 0.122
4, 0.122
4, 0.122
1, 0.264
4, 0.122
2, 0.258
0, 0.084
4, 0.122
4, 0.122
3, 0.16
1, 0.264
1, 0.264
1, 0.264
1, 0.264
1, 0.264
5, 0.06
1, 0.264
2, 0.258
3, 0.16
2, 0.258
1, 0.264
2, 0.258
2, 0.258
1, 0.264
2, 0.258
0, 0.084
2, 0.258
4, 0.122
1, 0.264
2, 0.258
2, 0.258
1, 0.264
2, 0.258
4, 0.122
4, 0.122
3, 0.16
2, 0.258
1, 0.264
1, 0.264
0, 0.084
5, 0.06
2, 0.258
3, 0.16
2, 0.258
1, 0.264
3, 0.16
1, 0.264
3, 0.16
4, 0.122
3, 0.16
3, 0.16
1, 0.264
2, 0.258
2, 0.258
4, 0.122
3, 0.16
2, 0.258
2, 0.258
1, 0.264
1, 0.264
2, 0.258
5, 0.06
2, 0.258
3, 0.16
7, 0.016
3, 0.16
2, 0.258
3, 0.16
2, 0.258
0, 0.084
3, 0.16
3, 0.16
0, 0.084
3, 0.16
2, 0.258
2, 0.258
2, 0.258
0, 0.084
5, 0.06
5, 0.06
1, 0.264
2, 0.258
2, 0.258
1, 0.264
2, 0.258
0, 0.084
1, 0.264
1, 0.264
3, 0.16
10, 0.002
2, 0.258
2, 0.258
2, 0.258
2, 0.258
2, 0.258
1, 0.264
7, 0.016
1, 0.264
2, 0.258
1, 0.264
1, 0.264
4, 0.122
1, 0.264
2, 0.258
3, 0.16
2, 0.258
2, 0.258
1, 0.264
4, 0.122
